"mes";"unidad_de_medida";"acumar_emc_i";"acumar_emc_ii";"bahía_blanca_emcabb_i";"bahía_blanca_emcabb_ii";"campana";"zárate";"central_tmb";"caba_parque_centenario";"caba_la_boca"
"enero";"PM10 (ug/m3)";"s/i";"42.76";"43.31";"25.68";"s/i";"66.21";"12.00";"s/i";"s/i"
"febrero";"PM10 (ug/m3)";"s/i";"57.22";"51.23";"28.19";"37.57";"54.85";"12.23";"s/i";"s/i"
"marzo";"PM10 (ug/m3)";"s/i";"54.48";"62.03";"28.05";"32.02";"61.54";"12.39";"s/i";"s/i"
"abril";"PM10 (ug/m3)";"33.91";"46.84";"56.97";"35.53";"12.56";"33.13";"7.7";"30.79";"29.81"
"mayo";"PM10 (ug/m3)";"19.80";"52.74";"37.40";"29.82";"11.41";"32.11";"9.74";"27.35";"25.48"
"junio";"PM10 (ug/m3)";"29.05";"53.82";"33.06";"23.31";"12.3";"32.65";"16.51";"31.9";"29.57"
"julio";"PM10 (ug/m3)";"17.31";"38.80";"30.72";"26.04";"6.05";"24.98";"11.27";"21.00";"21.55"
"agosto";"PM10 (ug/m3)";"23.27";"44.68";"47.72";"43.23";"8.68";"34.24";"17.13";"27.48";"27.66"
"septiembre";"PM10 (ug/m3)";"21.28";"39.82";"15.48";"20.47";"5.31";"s/i";"12.9";"22.13";"22.37"
"octubre";"PM10 (ug/m3)";"20.74";"29.91";"33.05";"27.11";"8.54";"16.73";"s/i";"24.13";"23.08"
"noviembre";"PM10 (ug/m3)";"21.88";"39.06";"44.19";"28.71";"17.67";"25.4";"34.81";"28.17";"30.18"
"diciembre";"PM10 (ug/m3)";"16.58";"27.09";"45.71";"34.17";"20.07";"11.5";"s/i";"17.4";"23.00"
